spot_slug,slug,neighborhood,mall,hours,address,min_budget,max_people,menu_url,whatsapp,phone,instagram,latitude,longitude,is_active,sort_order
bendito-cafe,bendito-cafe-granada,Granada,,Lun 15:30-21:30 · Mar 15:30-21:30 · Mie-Jue 15:30-22:30 · Vie 15:00-22:30 · Sab cerrado · Dom 15:30-21:30,"Av 9N #12-05, Granada, Cali",12000,4,https://www.tripadvisor.co/Restaurant_Review-g297475-d9757673-Reviews-Bendito_Coffee_Shop-Cali_Valle_del_Cauca_Department.html,,23720101,,,,true,10
patolandia,patolandia-mallplaza-cali,Cuarto de Legua,Mallplaza Cali,Lun-Dom 12:00-21:00,"Mallplaza Cali, Calle 3 #52-253, Piso 2, Cali",35000,6,https://conveniospatolandia.com/,,3124755344,https://instagram.com/patolandiaco,,,true,10
floret-de-autor,floret-de-autor-santa-monica,Santa Monica Residencial,,Lun-Jue 10:30-18:00 · Vie-Sab 10:30-19:00,"Av. 9 Nte. #17-41, Santa Monica Residencial, Cali",20000,4,https://www.rappi.com.co/restaurantes/900464309-floret-de-autor,,3188253940,https://instagram.com/floretdeautor,,,true,10
floret-de-autor,floret-de-autor-lago-verde,Pance,Parque Comercial Lago Verde,Lun-Sab 11:00-19:30,"Parque Comercial Lago Verde, Calle 16A, Pance, Cali",20000,4,https://www.rappi.com.co/restaurantes/900467218-floret-de-autor,,3188253940,https://instagram.com/floretdeautor,,,true,20
